Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Tue          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Wed          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Thu          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Fri          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Sat          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Sun          , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 12.2 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 24.7 , 12.2 , 12.2 , 12.2
Daily Charge ,218
