Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14.40      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Tue          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Wed          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Thu          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Fri          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Sat          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Sun          , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 14.40 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 26.60 , 14.40 , 14.40 , 14.40
Daily Charge ,120
