Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,48.05 ,48.05 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,48.05 ,48.05 ,48.05 ,48.05 ,28.83 ,28.83 ,24.03
Tue          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,48.05 ,48.05 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,48.05 ,48.05 ,48.05 ,48.05 ,28.83 ,28.83 ,24.03
Wed          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,48.05 ,48.05 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,48.05 ,48.05 ,48.05 ,48.05 ,28.83 ,28.83 ,24.03
Thu          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,48.05 ,48.05 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,48.05 ,48.05 ,48.05 ,48.05 ,28.83 ,28.83 ,24.03
Fri          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,48.05 ,48.05 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,48.05 ,48.05 ,48.05 ,48.05 ,28.83 ,28.83 ,24.03
Sat          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,24.03
Sun          , 24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,24.03 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,28.83 ,24.03
Daily Charge ,60
