Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10, 59.10 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10 , 59.10 , 59.10 , 59.10 , 29.55 , 29.55 , 29.55
Tue          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10, 59.10 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10 , 59.10 , 59.10 , 59.10 , 29.55 , 29.55 , 29.55
Wed          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10, 59.10 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10 , 59.10 , 59.10 , 59.10 , 29.55 , 29.55 , 29.55
Thu          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10, 59.10 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10 , 59.10 , 59.10 , 59.10 , 29.55 , 29.55 , 29.55
Fri          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10, 59.10 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 59.10 , 59.10 , 59.10 , 59.10 , 29.55 , 29.55 , 29.55
Sat          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55
Sun          , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55 , 29.55
Daily Charge ,60
