Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06, 35.06 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06 , 35.06 , 35.06 , 35.06 , 26.30 , 26.30 , 26.30
Tue          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06, 35.06 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06 , 35.06 , 35.06 , 35.06 , 26.30 , 26.30 , 26.30
Wed          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06, 35.06 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06 , 35.06 , 35.06 , 35.06 , 26.30 , 26.30 , 26.30
Thu          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06, 35.06 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06 , 35.06 , 35.06 , 35.06 , 26.30 , 26.30 , 26.30
Fri          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06, 35.06 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 35.06 , 35.06 , 35.06 , 35.06 , 26.30 , 26.30 , 26.30
Sat          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30
Sun          , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30 , 26.30
Daily Charge ,124
