Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Tue          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Wed          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Thu          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Fri          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Sat          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Sun          , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.1310 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.2710 , 0.27100 , 0.1310 , 0.1310 , 0.1310
Daily Charge ,60.00
