Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Tue          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Wed          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Thu          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Fri          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Sat          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Sun          , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 22.975 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 28.03 , 22.975 , 22.975 , 22.975
Daily Charge ,120
