Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42
Tue          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42
Wed          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42
Thu          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42
Fri          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,27.15 ,27.15 ,27.15 ,27.15 ,16.42 ,16.42 ,16.42
Sat          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42
Sun          , 16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42 ,16.42
Daily Charge ,120.00
