Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,34.24 ,34.24 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,34.24 ,34.24 ,34.24 ,34.24 ,23.97 ,23.97 ,17.12
Tue          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,34.24 ,34.24 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,34.24 ,34.24 ,34.24 ,34.24 ,23.97 ,23.97 ,17.12
Wed          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,34.24 ,34.24 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,34.24 ,34.24 ,34.24 ,34.24 ,23.97 ,23.97 ,17.12
Thu          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,34.24 ,34.24 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,34.24 ,34.24 ,34.24 ,34.24 ,23.97 ,23.97 ,17.12
Fri          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,34.24 ,34.24 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,34.24 ,34.24 ,34.24 ,34.24 ,23.97 ,23.97 ,17.12
Sat          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,17.12
Sun          , 17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,17.12 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,23.97 ,17.12
Daily Charge ,60
