Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Tue          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Wed          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Thu          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Fri          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Sat          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Sun          , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.1347 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.2463 , 0.24630 , 0.1347 , 0.1347 , 0.1347
Daily Charge ,90.00
