Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Tue          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Wed          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Thu          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Fri          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Sat          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Sun          , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 15.68 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 24.38 , 15.68 , 15.68 , 15.68
Daily Charge ,90.00
