Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Tue          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Wed          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Thu          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Fri          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Sat          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Sun          , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.1266 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.2382 , 0.23820 , 0.1266 , 0.1266 , 0.1266
Daily Charge ,110.11
