Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,13.52
Tue          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,13.52
Wed          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,13.52
Thu          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,13.52
Fri          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,27.05 ,27.05 ,27.05 ,27.05 ,22.05 ,22.05 ,13.52
Sat          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,13.52
Sun          , 13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,13.52 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,22.05 ,13.52
Daily Charge ,142.96
