Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Tue          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Wed          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Thu          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Fri          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Sat          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Sun          , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 13.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 27.10 , 13.10 , 13.10 , 13.10
Daily Charge ,60.00
