Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39
Tue          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39
Wed          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39
Thu          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39
Fri          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,21.86 ,21.86 ,21.86 ,21.86 ,16.39 ,16.39 ,16.39
Sat          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39
Sun          , 16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39 ,16.39
Daily Charge ,90
