Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43
Tue          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43
Wed          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43
Thu          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43
Fri          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,21.91 ,21.91 ,21.91 ,21.91 ,16.43 ,16.43 ,16.43
Sat          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43
Sun          , 16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43 ,16.43
Daily Charge ,89
