Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Tue          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Wed          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Thu          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Fri          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Sat          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Sun          , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 14.3 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 28.6 , 14.3 , 14.3 , 14.3
Daily Charge ,120
