Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65, 38.65 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65 , 38.65 , 38.65 , 38.65 , 28.98 , 28.98 , 28.98
Tue          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65, 38.65 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65 , 38.65 , 38.65 , 38.65 , 28.98 , 28.98 , 28.98
Wed          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65, 38.65 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65 , 38.65 , 38.65 , 38.65 , 28.98 , 28.98 , 28.98
Thu          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65, 38.65 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65 , 38.65 , 38.65 , 38.65 , 28.98 , 28.98 , 28.98
Fri          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65, 38.65 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 38.65 , 38.65 , 38.65 , 38.65 , 28.98 , 28.98 , 28.98
Sat          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98
Sun          , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98 , 28.98
Daily Charge ,60
