Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52
Tue          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52
Wed          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52
Thu          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52
Fri          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,26.25 ,26.25 ,26.25 ,26.25 ,15.52 ,15.52 ,15.52
Sat          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52
Sun          , 15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52 ,15.52
Daily Charge ,142.36
