Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Tue          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Wed          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Thu          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Fri          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Sat          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Sun          , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 12.1 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 24.3 , 12.1 , 12.1 , 12.1
Daily Charge ,130.6
