Day          , 00    ,01    ,02    ,03    ,04    ,05    ,06    ,07    ,08    ,09    ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23
Mon          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,45.53 ,45.53 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,45.53 ,45.53 ,45.53 ,45.53 ,27.32 ,27.32 ,22.77
Tue          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,45.53 ,45.53 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,45.53 ,45.53 ,45.53 ,45.53 ,27.32 ,27.32 ,22.77
Wed          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,45.53 ,45.53 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,45.53 ,45.53 ,45.53 ,45.53 ,27.32 ,27.32 ,22.77
Thu          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,45.53 ,45.53 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,45.53 ,45.53 ,45.53 ,45.53 ,27.32 ,27.32 ,22.77
Fri          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,45.53 ,45.53 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,45.53 ,45.53 ,45.53 ,45.53 ,27.32 ,27.32 ,22.77
Sat          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,22.77
Sun          , 22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,22.77 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,27.32 ,22.77
Daily Charge ,99
