Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Tue          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Wed          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Thu          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Fri          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Sat          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Sun          , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 13.47 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 24.63 , 13.47 , 13.47 , 13.47
Daily Charge ,90.00
