Day          ,00      ,01      ,02      ,03      ,04      ,05      ,06      ,07      ,08      ,09      ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20       ,21      ,22      ,23
Mon          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Tue          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Wed          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Thu          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Fri          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Sat          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Sun          , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 22.995 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 28.05 , 22.995 , 22.995 , 22.995
Daily Charge ,120
